-100	0.45190363	5.712776691
-90	-0.024389487	1.586179583
-80	-0.920509834	8.868565013
-70	8.965180197	4.962832644
-60	13.40022927	3.384425997
-50	14.68389153	8.979984751
-40	20.71329407	5.48153727
-30	37.95459879	1.367557132
-20	50.77311684	7.928298402
-10	80.68722174	4.789052726
0	122.3116431	9.448649256
10	110.4251464	2.743909937
20	77.74950765	7.79284375
30	61.29432197	1.403810461
40	50.24026911	5.499572256
50	47.87511887	9.792998037
60	50.43230085	7.919629828
70	52.86081495	1.889264599
80	55.79109921	2.224736114
90	54.44691679	1.468200621
100	59.4935563	5.050908955
110	63.89310061	6.471654925
120	58.86243078	2.943597254
